tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
quoted_tweet,50940012,RcgTruths,Sat Aug 01 04:01:41 +0000 2020,qanons qarmy,"",""
quoted_tweet,1219490483296059392,DocSce,Sat Aug 01 04:02:05 +0000 2020,wwg1wga qanon,"",""
retweeted_tweet_without_comment,1025465171014115328,DearDia47481411,Sat Aug 01 04:02:31 +0000 2020,lolitaexpress epsteinisland qanon qarmy,"",lolitaexpress epsteinisland qanon qarmy
reply,36569183,mikewoolsey,Sat Aug 01 04:03:47 +0000 2020,qanons qanonworldwide qanon2020 qanonjesusislord jesuschrist jesusislord wwg1wgaworldwide wwg1wgaww,"",""
retweeted_tweet_without_comment,1242949971424337920,letsfinishthis7,Sat Aug 01 04:05:31 +0000 2020,maga kag qanon,"",maga kag qanon
quoted_tweet,50940012,RcgTruths,Sat Aug 01 04:06:02 +0000 2020,qanons qanon qarmy,"",""
quoted_tweet,897589543783849984,MouthyOldBat,Sat Aug 01 04:07:43 +0000 2020,qanons thelostelection thestorm,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:08:21 +0000 2020,trump republicans qanon wwg1wwga gop,"",""
reply,1284309184499122176,paullan72046079,Sat Aug 01 04:11:24 +0000 2020,qanonworldwide,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:11:24 +0000 2020,maga kkk kkk gop republican qanon wwg1wwga,"",""
quoted_tweet,160763898,Gr8ful4America,Sat Aug 01 04:15:07 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
retweeted_tweet_without_comment,1266984132439130112,USPatriot1979,Sat Aug 01 04:16:32 +0000 2020,wwg1wga maga kag qanon,"",wwg1wga maga kag qanon
reply,1155892274556882944,angry_here,Sat Aug 01 04:16:34 +0000 2020,hackqanon,"",""
reply,107924813,Sanderstwits,Sat Aug 01 04:16:44 +0000 2020,maga trump foxnews fakenews fakenews usa trump2020 americans gop qanon wwg1wwga,"",""
reply,335331563,qisrea,Sat Aug 01 04:19:51 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:00 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:13 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:22 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:28 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:37 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:20:56 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:02 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:14 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:21 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:27 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:33 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:39 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:52 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:21:57 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:22:07 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:22:25 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
reply,335331563,qisrea,Sat Aug 01 04:22:35 +0000 2020,savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,"",""
