screen_name,tweet_type,date,tweetid,rt_hashtag,hashtag,userid
RcgTruths,quoted_tweet,Sat Aug 01 04:01:41 +0000 2020,1289410949137522688,"",qanons qarmy,50940012
DocSce,quoted_tweet,Sat Aug 01 04:02:05 +0000 2020,1289411050102636544,"",wwg1wga qanon,1219490483296059392
DearDia47481411,retweeted_tweet_without_comment,Sat Aug 01 04:02:31 +0000 2020,1289411160505061376,lolitaexpress epsteinisland qanon qarmy,lolitaexpress epsteinisland qanon qarmy,1025465171014115328
mikewoolsey,reply,Sat Aug 01 04:03:47 +0000 2020,1289411478429159424,"",qanons qanonworldwide qanon2020 qanonjesusislord jesuschrist jesusislord wwg1wgaworldwide wwg1wgaww,36569183
letsfinishthis7,retweeted_tweet_without_comment,Sat Aug 01 04:05:31 +0000 2020,1289411914313932800,maga kag qanon,maga kag qanon,1242949971424337920
RcgTruths,quoted_tweet,Sat Aug 01 04:06:02 +0000 2020,1289412047625584640,"",qanons qanon qarmy,50940012
MouthyOldBat,quoted_tweet,Sat Aug 01 04:07:43 +0000 2020,1289412468725264384,"",qanons thelostelection thestorm,897589543783849984
Sanderstwits,reply,Sat Aug 01 04:08:21 +0000 2020,1289412628712837120,"",trump republicans qanon wwg1wwga gop,107924813
paullan72046079,reply,Sat Aug 01 04:11:24 +0000 2020,1289413395460964352,"",qanonworldwide,1284309184499122176
Sanderstwits,reply,Sat Aug 01 04:11:24 +0000 2020,1289413397394538496,"",maga kkk kkk gop republican qanon wwg1wwga,107924813
Gr8ful4America,quoted_tweet,Sat Aug 01 04:15:07 +0000 2020,1289414332359438336,"",osha fauci qanons wearethenewsnow thegreatawakening,160763898
USPatriot1979,retweeted_tweet_without_comment,Sat Aug 01 04:16:32 +0000 2020,1289414688925597696,wwg1wga maga kag qanon,wwg1wga maga kag qanon,1266984132439130112
angry_here,reply,Sat Aug 01 04:16:34 +0000 2020,1289414697846886400,"",hackqanon,1155892274556882944
Sanderstwits,reply,Sat Aug 01 04:16:44 +0000 2020,1289414737726287872,"",maga trump foxnews fakenews fakenews usa trump2020 americans gop qanon wwg1wwga,107924813
qisrea,reply,Sat Aug 01 04:19:51 +0000 2020,1.289415524259e+18,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:00 +0000 2020,1289415560388730880,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:13 +0000 2020,1289415616194129920,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:22 +0000 2020,1289415650872422400,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:28 +0000 2020,1289415676046774272,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:37 +0000 2020,1289415714055520256,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:20:56 +0000 2020,1289415796985405440,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:02 +0000 2020,1289415822251892736,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:14 +0000 2020,1289415870385516544,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:21 +0000 2020,1289415901360435200,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:27 +0000 2020,1289415925783908352,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:33 +0000 2020,1.289415952057e+18,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:39 +0000 2020,1289415974014263296,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
qisrea,reply,Sat Aug 01 04:21:52 +0000 2020,1289416030427713536,"",savethechildren trump2020landslidevictory qanons andrenochrome biden2020 bidenharris2020 biden,335331563
